product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
tu đung my pham cao cap hokori nhieu tang ke đung my pham đo trang điem nhieu ngan,135200,20,4.7,3,1,my pham,11
tu đung my pham cao cap hokori 3 tang ke đung my pham đo trang điem nhieu ngan - hang viet nam,167160,58,4.8,4,1,my pham,15
tu đung my pham cao cap hokori 4 tang ke đung my pham đo trang điem nhieu ngan - hang viet nam,200950,58,4.7,3,1,my pham,5
tui đung my pham nhieu ngan chong nuoc tien dung - chinh hang midoctor,79200,20,5.0,1,1,my pham,1
bo ba san pham danh cho da nhay cam dermalogica sensitive skin rescue kit,1270000,4,4.7,3,1,my pham,1
tu đung my pham cao cap hokori 2 tang ke đung my pham đo trang điem nhieu ngan - hang viet nam,141960,58,5.0,6,1,my pham,20
ke đung my pham mini đe ban bang nhua giao mau ngau nhien,23200,20,4.0,1,1,my pham,1
bo san pham danh cho da mun caryophy,1000000,5,4.8,13,1,my pham,39
tui đung my pham hoa van brahma flamingo-giao mau hoa tiet ngau nhien,39984,59,4.7,3,1,my pham,16
tui đung my pham tui đung đo du lich bang nhua chong tham washbag gon nhe tien loi - chinh hang,73040,54,5.0,3,1,my pham,47
tui đung my pham du lich washbag dang hop co quai xach mini trong suot tui đung đo trang điem makup chong nuoc - chinh hang,55752,60,4.6,12,1,my pham,84
tui đung my pham vai luoi thoang khi travelbag,99960,45,4.7,3,1,my pham,6
kem duong bo sung nuoc cap toc cho da phuc hoi da nhay cam va da mun queenie,605000,8,4.7,3,1,duong da,1
kem duong cho da nhay cam phuc hoi on đinh da larian 50ml,1750000,3,5.0,1,1,duong da,2
kem duong reihaku hatomugi cai thien lan da kho tham mun 300g,104000,20,4.7,3,1,duong da,19
kem duong ho tro phuc hoi va tai tao da histolab k cream 50ml,529000,9,4.5,2,1,duong da,4
kem duong phuc hoi da rau ma goodndoc centella repair cream 50ml,445000,10,4.8,21,1,duong da,59
sach duong da toi gian,56672,38,4.8,10,1,duong da,152
kem duong da duong am ca ngay (50ml),77040,35,4.7,19,1,duong da,259
combo 7 mon cham soc da toan dien duong da co ban kem duong da ban ngay (30ml) ban đem (30g) serum duong trang dieu ki 30ml,1311000,52,5.0,10,1,duong da,30
